st;en;duration;height;Rmax;Rmax10;st;en;duration;height;Rmax;Rmax10;st;en;duration;height;Rmax;Rmax10;st;en;duration;height;Rmax;Rmax10
2013-06-29 22:15:00;2013-06-30 00:17:00;122;0,8;4,2;1,2;2013-06-29 22:52:00;2013-06-30 00:13:00;81;0,8;5,9;1,2;2013-06-29 22:15:00;2013-06-30 00:17:00;122;1,1;6,4;2,5;2013-06-29 23:14:00;2013-06-30 00:17:00;63;0,5;6,1;1,2
2013-06-30 06:20:00;2013-06-30 06:23:00;3;0;2;0,2;2013-06-30 06:20:00;2013-06-30 06:23:00;3;0,1;5,9;0,6;NA;NA;0;0;0;0;NA;NA;0;0;0;0
2013-07-03 06:11:00;2013-07-03 06:14:00;3;0;2;0,2;2013-07-03 06:11:00;2013-07-03 06:14:00;3;0,1;5,9;0,6;NA;NA;0;0;0;0;NA;NA;0;0;0;0
2013-07-03 07:24:00;2013-07-03 09:16:00;112;1,4;4,1;2,3;2013-07-03 07:27:00;2013-07-03 09:16:00;109;2;12,4;3,6;2013-07-03 07:24:00;2013-07-03 09:16:00;112;1,2;6,4;1,9;2013-07-03 07:36:00;2013-07-03 09:12:00;96;1;6,1;2,4
2013-07-03 17:00:00;2013-07-03 17:30:00;30;9;88,3;44;2013-07-03 17:00:00;2013-07-03 17:29:00;29;14,5;117,4;74,1;2013-07-03 17:27:00;2013-07-03 17:30:00;3;0,1;6,4;0,6;2013-07-03 17:11:00;2013-07-03 17:30:00;19;12,5;147,7;73,9
2013-07-03 23:38:00;2013-07-04 01:01:00;83;0,9;6,2;2,7;2013-07-03 23:38:00;2013-07-04 01:00:00;82;0,8;5,9;1,8;2013-07-03 23:39:00;2013-07-04 00:55:00;76;0,7;6,4;1,9;2013-07-03 23:40:00;2013-07-04 01:01:00;81;1,2;12,2;4,3
2013-07-24 21:41:00;2013-07-25 02:30:00;289;4,1;12,2;5,2;NA;NA;0;0;0;0;2013-07-24 21:41:00;2013-07-25 02:30:00;289;4,2;18,3;6,1;2013-07-24 22:05:00;2013-07-25 02:27:00;262;4,1;6,1;4,9
2013-07-29 03:32:00;2013-07-29 03:35:00;3;0,1;3,1;0,3;NA;NA;0;0;0;0;NA;NA;0;0;0;0;2013-07-29 03:32:00;2013-07-29 03:35:00;3;0,1;6,1;0,6
2013-07-29 18:21:00;2013-07-29 23:01:00;280;37,8;143,9;127,1;NA;NA;0;0;0;0;2013-07-29 18:21:00;2013-07-29 22:27:00;246;36;140,5;120,7;2013-07-29 18:23:00;2013-07-29 23:01:00;278;39,6;168,1;139
2013-07-30 00:29:00;2013-07-30 03:28:00;179;2;6,2;2,8;NA;NA;0;0;0;0;2013-07-30 00:29:00;2013-07-30 03:28:00;179;2,4;6,4;3,1;2013-07-30 01:12:00;2013-07-30 03:17:00;125;1,6;6,1;2,4
